Username,Handle,Timestamp,Text,Replys,Retweets,Likes
//manoel,@usuarioesenha,2010-02-23T16:55:30.000Z,"Vanessa da Mata e Zéca Pagodinho dizem q é. Se bem q da Malla tá R$30 RT 
@stuntsbr
 @Manoel_Macro não sabia... R$80 é popular? aff..#Rouanet",,,
INSTITUTO KREATORI,@artenokreatori,2010-02-12T03:50:38.000Z,", o acesso gerado à sociedade e o reforço da economia da
cultura. #rouanet
1",,1,
INSTITUTO KREATORI,@artenokreatori,2010-02-12T03:50:11.000Z,"Na nova lei rouanet, o percentual de renúncia vai ser maior quanto maior a contribuição para as linguagens artísticas... #rouanet
2",,2,
Thiago Fraga,@trfraga,2010-02-12T03:47:38.000Z,"A nova lei cria renúncia fiscal para endowments(formados pela doação de empresas e pessoas físicas para instituições e equipamentos)#rouanet
1",,1,
Thiago Fraga,@trfraga,2010-02-11T23:40:00.000Z,"Porque mudar a lei Rouanet? 1bi provém da renúncia fiscal por ano, e 80% destes são captados por apenas uma das 05 regiões do país #rouanet",,,
Thiago Fraga,@trfraga,2010-02-11T23:37:09.000Z,Porque mudar a lei Rouanet? 50% dos recursos captados ficam concentrados em apenas 3% dos proponentes #rouanet,,,
alôbrasil,@alobrasilcrm,2010-02-03T12:06:53.000Z,"Texto do projeto de lei Procultura (""Nova Lei Rouanet""). Atenção Produtores Culturais! #cultura #rouanet http://bit.ly/bfY3MA",,,
Secretaria Especial da Cultura,@CulturaGovBr,2010-02-01T13:06:36.000Z,"Em resposta a 
@fabianagama
@fabianagama
 Olá, veja mais informações sobre as mudanças da #rouanet: http://bit.ly/aYjta8.
1",,1,
Caribe Produções,@caribeproducoes,2010-01-29T14:49:48.000Z,"RT: 
@CulturaGovBr
: Confira a íntegra do projeto de lei da Nova Lei da Cultura, encaminhado ao Congresso: http://bit.ly/aYjta8 #rouanet",,,
Museu da Energia,@museudaenergia,2010-01-29T12:04:13.000Z,"RT 
@CulturaGovBr
 Confira a íntegra do projeto de lei da Nova Lei da Cultura, encaminhado ao Congresso: http://bit.ly/aYjta8 #rouanet",,,
Arquivística,@Arquivistica,2010-01-29T02:41:36.000Z,"RT 
@CulturaGovBr
: Confira a íntegra do projeto de lei da Nova Lei da Cultura, encaminhado ao Congresso: http://bit.ly/aYjta8 #rouanet",,,
Joana Varon,@joana_varon,2010-01-28T22:59:56.000Z,"RT: 
@CulturaGovBr
 Confira a íntegra do projeto de lei da Nova Lei da Cultura, encaminhado ao Congresso: http://bit.ly/aYjta8 #rouanet",,,
Thalita Lindoso,@thalita_lindoso,2010-01-28T22:17:00.000Z,"RT 
@CulturaGovBr
: Confira a íntegra do projeto de lei da Nova Lei da Cultura, encaminhado ao Congresso: http://bit.ly/aYjta8 #rouanet",,,
Secult ES,@SecultES,2010-01-28T21:13:14.000Z,"RT 
@CulturaGovBr
: Confira a íntegra do projeto de lei da Nova Lei da Cultura, encaminhado ao Congresso: http://bit.ly/aYjta8 #rouanet",,,
Regional Nordeste,@MinCidadaniaNE,2010-01-28T21:08:02.000Z,"RT: 
@CulturaGovBr
: Confira a íntegra do projeto de lei da Nova Lei da Cultura, encaminhado ao Congresso: http://bit.ly/aYjta8 #rouanet
2
1",,2,1
Bê Neviani,@Be_neviani,2010-01-28T21:02:12.000Z,"RT 
@danielablanco27
 Nova Lei da Cultura-Proposta de substituição da Lei Rouanet chega ao Congresso Nacional http://bit.ly/9KFZyS #Rouanet",,,
Chris Gar,@chris_gar,2010-01-28T20:46:48.000Z,"RT 
@CulturaGovBr
: Confira a íntegra do projeto de lei da Nova Lei da Cultura, encaminhado ao Congresso: http://bit.ly/aYjta8 #rouanet",,,
Bleffe,@bleffe,2010-01-28T20:46:48.000Z,"RT 
@CulturaGovBr
: Confira a íntegra do projeto de lei da Nova Lei da Cultura, encaminhado ao Congresso: http://bit.ly/aYjta8 #rouanet",,,
black sonora,@blacksonora,2010-01-28T20:46:02.000Z,"RT 
@CulturaGovBr
: Confira a íntegra do projeto de lei da Nova Lei da Cultura, encaminhado ao Congresso: http://bit.ly/aYjta8 #rouanet",,,
Secretaria Especial da Cultura,@CulturaGovBr,2010-01-28T20:43:10.000Z,"Confira a íntegra do projeto de lei da Nova Lei da Cultura, encaminhado ao Congresso: http://bit.ly/aYjta8 #rouanet
39
2",,39,2
Helena Sroulevich,@hsroulevich,2010-01-27T19:10:42.000Z,"Lula encaminha projeto da nova #Rouanet ao Congresso. Confira a publicação no Diário Oficial: http://bit.ly/bPo7c7 (via 
@CulturaGovBr
)",,,
Caribe Produções,@caribeproducoes,2010-01-27T19:10:11.000Z,"Lula encaminha projeto da nova #Rouanet ao Congresso. Confira a publicação no Diário Oficial: http://bit.ly/bPo7c7 (via 
@CulturaGovBr
)",,,
